"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"71","Hull.Freetown",2,0,0,"Background Urban",53.74878,-0.341222,"Kingston upon Hull","Yorkshire & Humberside",429322.05,509481.95,4,"11/06/2002","09/12/2019","UKA00450"
"72","Hull.Holderness.Road",2,0,0,"Traffic Urban",53.758971,-0.305749,"Kingston upon Hull","Yorkshire & Humberside",430510.95,511793.9,4,"01/01/2015","1/26/17","UKA00600"
"73","Immingham.Woodlands.Avenue",2,0,0,"Background Urban",53.619241,-0.213324,"Yorkshire & Humberside","Yorkshire & Humberside",415116,518277,3,"11/01/2017",NA,"UKA00647"
"74","Inverness",3,0,0,"Traffic Urban",57.481308,-4.241451,"Highland","Highland",845668.85,265708.85,1,"07/11/2001","7/23/18","UKA00434"
"75","Ladybower",2,0,0,"Background Rural",53.40337,-1.752006,"East Midlands","East Midlands",389645.1,416585.32,420,"7/15/88","01/11/2016","UKA00171"
"76","Leamington.Spa",4,0,0,"Background Urban",52.28881,-1.533119,"West Midlands","West Midlands",265733.01,431942.76,55,"7/26/96","06/10/2019","UKA00265"
"77","Leamington.Spa.Rugby.Road",2,0,0,"Traffic Urban",52.294884,-1.542911,"West Midlands","West Midlands",266404.37,431270.59,66,"06/01/2012","06/07/2019","UKA00564"
"78","Leeds.Centre",2,0,0,"Background Urban",53.80378,-1.546472,"West Yorkshire Urban Area","Yorkshire & Humberside",434259.97,429966.54,78,"01/04/1993","12/02/2008","UKA00222"
"79","Leeds.Headingley.Kerbside",2,0,0,"Traffic Urban",53.819972,-1.576361,"West Yorkshire Urban Area","Yorkshire & Humberside",436049.33,427987.34,85,"2/17/08","04/06/2009","UKA00527"
"80","Leicester.A594.Roadside",2,0,0,"Traffic Urban",52.638677,-1.124228,"Leicester Urban Area","East Midlands",304907.7,459361.09,59,"06/01/2015","09/03/2018","UKA00609"
"81","Leicester.University",2,0,0,"Background Urban",52.619823,-1.127311,"Leicester Urban Area","East Midlands",302807.95,459177.85,83,"10/01/2013",NA,"UKA00573"
"82","Leominster",1,0,0,"Background Suburban",52.22174,-2.736665,"West Midlands","West Midlands",258426.11,349773.58,75,"7/18/05","08/07/2012","UKA00489"
"83","Lincoln.Canwick.Road",2,0,0,"Traffic Urban",53.221373,-0.534189,"East Midlands","East Midlands",370371.61,497964.44,7,"7/27/11",NA,"UKA00561"
"84","Liverpool.Speke",2,0,0,"Industrial Urban",53.34633,-2.844333,"Liverpool Urban Area","North West & Merseyside",383603.18,343887.26,26,"11/24/95","9/18/18","UKA00247"
"85","London.Bexley",4,0,0,"Background Suburban",51.46603,0.184806,"Greater London Urban Area","Greater London Urban Area",176381.11,551858.96,13,"05/01/1994","12/31/14","UKA00238"
"86","London.Bloomsbury",4,0,0,"Background Urban",51.52229,-0.125889,"Greater London Urban Area","Greater London Urban Area",182039.31,530118.96,20,"1/23/92","7/16/12","UKA00211"
"87","London.Eltham",4,0,0,"Background Suburban",51.45258,0.070766,"Greater London Urban Area","Greater London Urban Area",174655.3,543980.53,60,"10/08/1993","9/30/07","UKA00230"
"88","London.Haringey.Priory.Park.South",4,0,0,"Background Urban",51.584128,-0.125254,"Greater London Urban Area","Greater London Urban Area",188917.08,529986.75,37,"10/26/12",NA,"UKA00568"
"89","London.Harlington",4,0,0,"Industrial Urban",51.48879,-0.441614,"Greater London Urban Area","Greater London Urban Area",177800.17,508295.2,35,"01/01/2004","12/31/15","UKA00472"
"90","London.Hillingdon",4,0,0,"Background Urban",51.49633,-0.460861,"Greater London Urban Area","Greater London Urban Area",178610.41,506941.32,34,"08/02/1996","9/30/07","UKA00266"
"91","London.Marylebone.Road",4,0,0,"Traffic Urban",51.52253,-0.154611,"Greater London Urban Area","Greater London Urban Area",182015.36,528125.76,35,"01/01/1997","01/09/2019","UKA00315"
"92","London.N..Kensington",4,0,0,"Background Urban",51.52105,-0.213492,"Greater London Urban Area","Greater London Urban Area",181749.4,524045.04,5,"04/01/1996","11/13/18","UKA00253"
"93","London.Westminster",4,0,0,"Background Urban",51.49467,-0.131931,"Greater London Urban Area","Greater London Urban Area",178957.15,529778.2,5,"7/17/01","8/14/18","UKA00435"
"94","Lullington.Heath",4,0,0,"Background Rural",50.7937,0.18125,"South East","South East",101615.71,553828.59,125,"10/04/1986","04/03/2018","UKA00152"
"95","Luton.A505.Roadside",4,0,0,"Traffic Urban",51.892293,-0.46211,"Eastern","Eastern",222644,505927,136,"03/11/2015",NA,"UKA00605"
"96","Manchester.Piccadilly",2,0,0,"Background Urban",53.48152,-2.237881,"Greater Manchester Urban Area","North West & Merseyside",398337.36,384310.87,57,"12/18/95","3/22/12","UKA00248"
"97","Manchester.Sharston",2,0,0,"Industrial Suburban",53.371306,-2.239218,"Greater Manchester Urban Area","North West & Merseyside",386076.04,384180.99,67,"1/27/16",NA,"UKA00617"
"98","Market.Harborough",4,0,0,"Background Rural",52.554444,-0.772222,"East Midlands","East Midlands",295885.89,483340.2,145,"11/11/2003","3/27/19","UKA00463"
"99","Middlesbrough",3,0,0,"Industrial Urban",54.569297,-1.220874,"Teesside Urban Area","North East",519620.54,450470.86,10,"01/01/1993","12/31/12","UKA00220"
"100","Narberth",1,0,0,"Background Rural",51.781784,-4.691462,"South Wales","South Wales",212663.33,214439.86,160,"1/20/97","06/07/2018","UKA00323"
"101","Newcastle.Centre",3,0,0,"Background Urban",54.97825,-1.610528,"Tyneside","North East",564918.47,425026.15,45,"03/08/1992","8/15/12","UKA00213"
"102","Newcastle.Cradlewell.Roadside",2,0,0,"Traffic Urban",54.986405,-1.595362,"Tyneside","North East",565831.48,425991.6,42,"03/10/2008",NA,"UKA00528"
"103","Newport",1,0,0,"Background Urban",51.601203,-2.977281,"South Wales","South Wales",189604.01,332410.02,24,"01/01/1999","8/15/17","UKA00380"
"104","Northampton.Spring.Park",4,0,0,"Background Urban",52.272257,-0.916605,"East Midlands","East Midlands",264341.81,474021.63,88,"04/01/2017",NA,"UKA00632"
"105","Norwich.Lakenfields",4,0,0,"Background Urban",52.614193,1.301976,"Eastern","Eastern",306944.08,623638.3,36,"09/01/2009","4/29/19","UKA00549"
"106","Nottingham.Centre",2,0,0,"Background Urban",52.95473,-1.146447,"Nottingham Urban Area","East Midlands",340046.74,457440.49,41,"09/02/1996","5/14/19","UKA00274"
"107","Nottingham.Western.Boulevard",2,0,0,"Traffic Urban",52.969377,-1.188851,"Nottingham Urban Area","East Midlands",341643.07,454573.36,43,"03/01/2016","10/03/2018","UKA00618"
"108","Oldbury.Birmingham.Road",2,0,0,"Traffic Urban",52.502436,-2.003497,"West Midlands Urban Area","West Midlands",289392.88,399859.65,151,"09/01/2014",NA,"UKA00595"
"109","Oxford.Centre.Roadside",4,0,0,"Traffic Urban",51.751745,-1.257463,"South East","South East",206155.28,451354.97,60,"4/15/96","9/30/07","UKA00258"
"110","Oxford.St.Ebbes",4,0,0,"Background Urban",51.744806,-1.260278,"South East","South East",205381.56,451168.47,58,"01/01/2008","6/26/19","UKA00518"
"111","Peebles",3,0,0,"Background Urban",55.657472,-3.196527,"Scottish Borders","Scottish Borders",641087.92,324814.65,167,"11/06/2009",NA,"UKA00551"
"112","Plymouth.Centre",1,0,0,"Background Urban",50.37167,-4.142361,"South West","South West",54613.65,247748.49,18,"9/29/97","10/01/2012","UKA00360"
"113","Plymouth.Tavistock.Road",1,0,0,"Traffic Urban",50.411058,-4.130288,"South West","South West",58968.18,248732.46,107,"01/01/2017",NA,"UKA00629"
"114","Port.Talbot.Margam",1,0,0,"Industrial Urban",51.58395,-3.770822,"Swansea Urban Area","South Wales",188718.68,277405.85,5,"01/01/2007","12/31/13","UKA00501"
"115","Portsmouth",4,0,0,"Background Urban",50.82881,-1.068583,"Portsmouth Urban Area","South East",103665.77,465695.06,5,"01/01/2001","6/25/19","UKA00421"
"116","Portsmouth.Anglesea.Road",4,0,0,"Traffic Urban",50.798339,-1.095558,"Portsmouth Urban Area","South East",100254,463837,6,"01/01/2018",NA,"UKA00651"
